path,bytes,status,purpose,deletion_advice
deepseek-v4-csa/pypto-lib-operator/golden/spec.py,17247,tracked,TensorSpec、输入初始化和测试数据描述。,保留；两个运行入口共同依赖。
deepseek-v4-csa/pypto-lib-operator/golden/validation.py,39091,tracked,数值误差比较器和校验结果定义。,保留；两个运行入口共同依赖。
deepseek-v4-csa/pypto-lib-operator/hc_post.py,9705,tracked,Hyper-connection后处理，结合残差流与输出混合系数形成层输出。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa/pypto-lib-operator/hc_pre.py,21827,tracked,Hyper-connection前处理：RMS/线性、系数拆分、Sinkhorn和输入混合。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa/pypto-lib-operator/qkv_proj_rope.py,70715,tracked,Q/QR/KV投影、Split-K累加、量化/归一化与RoPE辅助算子。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa/pypto-lib-operator/rmsnorm.py,6061,tracked,CSA使用的RMS归一化及相关辅助实现。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa/pypto-lib-operator/rope_interleave.py,3193,tracked,RoPE交错排布的辅助算子。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa/pypto-lib-operator/run_benchmark.py,2055,tracked,命令行入口，构建输入、选择PyPTO编译或runtime_dir replay并执行Golden校验。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa/pypto-lib-operator/utils.py,19123,tracked,位置、seq_len、slot/page映射、缓存fixture及参考运算等共享辅助。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa/simpler-operator/LICENSE,5262,tracked,该份源码/生成代码的上游许可证文本。,保留；随代码分发，不作为冗余文件清理。
deepseek-v4-csa/simpler-operator/__pycache__/kernel_config.cpython-311.pyc,16665,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa/simpler-operator/cache/.binary_context.lock,0,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/binary_context.json,218,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_0_aiv_hc_pre_rms_a2a3.bin,1480,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_10_aiv_rms_norm_a2a3.bin,2532,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_11_aiv_q_rope_prepare_a2a3.bin,7436,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_12_aiv_qr_proj_seed_a2a3.bin,1064,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_13_aic_qr_proj_matmul_a2a3.bin,1064,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_14_aiv_qr_rms_norm_quant_a2a3.bin,3624,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_15_aic_qproj_matmul_a2a3.bin,1456,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_16_aiv_qproj_dequant_rms_nope_rope_a2a3.bin,4660,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_17_aiv_kv_proj_seed_a2a3.bin,688,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_18_aic_kv_proj_matmul_a2a3.bin,1060,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_19_aiv_kv_rms_norm_rope_a2a3.bin,3928,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_1_aic_hc_pre_linear_a2a3.bin,1096,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_20_aiv_csa_cache_writeback_a2a3.bin,716,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_21_aic_kv_score_proj_a2a3.bin,1560,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_22_aiv_scatter_softmax_pool_a2a3.bin,2636,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_23_aiv_rmsnorm_rope_cache_write_a2a3.bin,5368,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_24_aic_idx_qr_proj_matmul_a2a3.bin,1304,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_25_aiv_idx_qr_proj_dequant_a2a3.bin,596,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_26_aiv_qr_rope_swap_idx_a2a3.bin,2200,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_27_aiv_qr_rope_a2a3.bin,3032,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_28_aic_qr_hadamard_matmul_a2a3.bin,352,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_29_aiv_qr_hadamard_quant_a2a3.bin,2532,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_2_aiv_hc_pre_linear_reduce_a2a3.bin,328,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_30_aic_weights_proj_a2a3.bin,716,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_31_aiv_weights_proj_reduce_a2a3.bin,252,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_32_aic_kv_score_proj_0_a2a3.bin,1716,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_33_aiv_scatter_softmax_pool_0_a2a3.bin,2976,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_34_aiv_rmsnorm_rope_a2a3.bin,3936,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_35_aic_kv_hadamard_a2a3.bin,448,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_36_aiv_kv_and_cache_write_a2a3.bin,2736,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_37_aic_score_aic_a2a3.bin,1580,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_38_aiv_score_aiv_a2a3.bin,6820,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_39_aiv_topk_a2a3.bin,1616,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_3_aiv_split_pre_post_a2a3.bin,940,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_40_aiv_kv_touch_a2a3.bin,100,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_41_aiv_csa_slots_build_valid_qk_plan_a2a3.bin,2916,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_42_aic_qk_pv_aic_a2a3.bin,4292,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_43_aiv_qk_pv_aiv_a2a3.bin,3372,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_44_aiv_rope_cs_a2a3.bin,4088,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_45_aiv_merge_norm_a2a3.bin,3860,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_46_aic_proj_a_mm_a2a3.bin,952,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_47_aiv_quant_a2a3.bin,1692,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_48_aic_proj_b_mm_a2a3.bin,1324,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_49_aiv_proj_b_act_a2a3.bin,1364,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_4_aiv_comb_sinkhorn_a2a3.bin,2952,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_50_aiv_hc_post_a2a3.bin,1144,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_5_aiv_mix_x_a2a3.bin,3016,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_6_aiv_csa_rope_step_a2a3.bin,1372,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_7_aiv_rope_interleave_a2a3.bin,1840,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_8_aiv_csa_cmp_rope_a2a3.bin,1964,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/cache/incore_9_aiv_rope_interleave_0_a2a3.bin,1840,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa/simpler-operator/compiled_meta.json,6978,tracked,PyPTO replay所需编译ABI元数据：参数顺序、shape、dtype和方向等。,保留；当前replay loader绑定ABI需要。
deepseek-v4-csa/simpler-operator/kernel_config.py,10169,tracked,运行时kernel ID、源文件、核类型、参数方向和orchestration入口注册表。,保留；所有注册源文件与此表配套。
deepseek-v4-csa/simpler-operator/kernels/aic/hc_pre_linear.cpp,19705,tracked,Hyper-connection系数线性投影。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aic/hc_pre_linear.o,122712,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aic/idx_qr_proj_matmul.cpp,18699,tracked,Indexer查询投影矩阵乘。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aic/idx_qr_proj_matmul.o,127176,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aic/kv_hadamard.cpp,11621,tracked,Indexer KV Hadamard变换。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aic/kv_hadamard.o,103224,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aic/kv_proj_matmul.cpp,21148,tracked,KV投影矩阵乘。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aic/kv_proj_matmul.o,126600,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aic/kv_score_proj.cpp,27469,tracked,压缩器KV/score联合投影；_0为Indexer内压缩分支，无后缀为主压缩分支。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aic/kv_score_proj.o,136808,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aic/kv_score_proj_0.cpp,28272,tracked,压缩器KV/score联合投影；独立注册的专用分组/调用版本，后缀不代表可删除副本；_0为Indexer内压缩分支，无后缀为主压缩分支。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aic/kv_score_proj_0.o,140728,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aic/proj_a_mm.cpp,18677,tracked,低秩输出投影第一段矩阵乘。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aic/proj_a_mm.o,125800,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aic/proj_b_mm.cpp,20423,tracked,低秩输出投影第二段矩阵乘。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aic/proj_b_mm.o,130952,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aic/qk_pv_aic.cpp,97023,tracked,mixed稀疏attention的QK/PV矩阵计算。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aic/qk_pv_aic.o,258664,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aic/qproj_matmul.cpp,18405,tracked,Q展开投影矩阵乘。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aic/qproj_matmul.o,125392,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aic/qr_hadamard_matmul.cpp,10837,tracked,查询Hadamard矩阵乘。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aic/qr_hadamard_matmul.o,103888,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aic/qr_proj_matmul.cpp,21244,tracked,QR低秩投影矩阵乘。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aic/qr_proj_matmul.o,126808,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aic/score_aic.cpp,89406,tracked,mixed score的AIC矩阵计算部分。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aic/score_aic.o,138376,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aic/weights_proj.cpp,13879,tracked,Indexer头权重投影。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aic/weights_proj.o,114832,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/comb_sinkhorn.cpp,82827,tracked,组合系数的Sinkhorn归一化。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/comb_sinkhorn.o,309976,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/csa_cache_writeback.cpp,8474,tracked,KV缓存写回。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/csa_cache_writeback.o,85552,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/csa_cmp_rope.cpp,13606,tracked,准备压缩位置RoPE数据。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/csa_cmp_rope.o,114608,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/csa_rope_step.cpp,23867,tracked,准备当前decode步的RoPE数据。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/csa_rope_step.o,140224,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/csa_slots_build_valid_qk_plan.cpp,33689,tracked,构造滑窗/压缩稀疏slot及有效QK计划。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/csa_slots_build_valid_qk_plan.o,259400,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/hc_post.cpp,45998,tracked,Hyper-connection输出与残差流组合。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/hc_post.o,140712,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
